fy,abbr,state,County,County 2,"County, State",Local Board,type,count,avgWage,MedianWageByCounty
FY 2025,FL,Florida,Alachua County,Alachua,"Alachua, FL",CareerSource North Central Florida,Active Apprentices,512,15.51355469,15.3
FY 2025,FL,Florida,Alachua County,Alachua,"Alachua, FL",CareerSource North Central Florida,New Apprentices,175,17.09137143,16.09
FY 2025,FL,Florida,Alachua County,Alachua,"Alachua, FL",CareerSource North Central Florida,Completer Apprentices,83,28.1939759,27.82
FY 2024,FL,Florida,Alachua County,Alachua,"Alachua, FL",CareerSource North Central Florida,Active Apprentices,478,14.65119247,14.5
FY 2024,FL,Florida,Alachua County,Alachua,"Alachua, FL",CareerSource North Central Florida,New Apprentices,204,15.45769608,15.3
FY 2024,FL,Florida,Alachua County,Alachua,"Alachua, FL",CareerSource North Central Florida,Completer Apprentices,66,25.74939394,26.37
FY 2023,FL,Florida,Alachua County,Alachua,"Alachua, FL",CareerSource North Central Florida,Active Apprentices,415,14.07995181,13.86
FY 2023,FL,Florida,Alachua County,Alachua,"Alachua, FL",CareerSource North Central Florida,New Apprentices,194,15.18154639,14.5
FY 2023,FL,Florida,Alachua County,Alachua,"Alachua, FL",CareerSource North Central Florida,Completer Apprentices,73,26.07342466,25.21
FY 2022,FL,Florida,Alachua County,Alachua,"Alachua, FL",CareerSource North Central Florida,Active Apprentices,407,12.96378378,12.93
FY 2022,FL,Florida,Alachua County,Alachua,"Alachua, FL",CareerSource North Central Florida,New Apprentices,126,13.59055556,13.86
FY 2022,FL,Florida,Alachua County,Alachua,"Alachua, FL",CareerSource North Central Florida,Completer Apprentices,56,24.32946429,23.5
FY 2025,FL,Florida,Bay County,Bay,"Bay, FL",CareerSource Gulf Coast,Active Apprentices,11,18.54545455,18
FY 2025,FL,Florida,Bay County,Bay,"Bay, FL",CareerSource Gulf Coast,New Apprentices,9,18,18
FY 2024,FL,Florida,Bay County,Bay,"Bay, FL",CareerSource Gulf Coast,Active Apprentices,2,21,21
FY 2024,FL,Florida,Bay County,Bay,"Bay, FL",CareerSource Gulf Coast,New Apprentices,1,18,18
FY 2023,FL,Florida,Bay County,Bay,"Bay, FL",CareerSource Gulf Coast,Active Apprentices,2,21,21
FY 2023,FL,Florida,Bay County,Bay,"Bay, FL",CareerSource Gulf Coast,New Apprentices,1,22,22
FY 2022,FL,Florida,Bay County,Bay,"Bay, FL",CareerSource Gulf Coast,Active Apprentices,3,19,19
FY 2022,FL,Florida,Bay County,Bay,"Bay, FL",CareerSource Gulf Coast,New Apprentices,1,20,20
FY 2025,FL,Florida,Brevard County,Brevard,"Brevard, FL",CareerSource Brevard Flagler Volusia,Active Apprentices,392,18.88117347,18
FY 2025,FL,Florida,Brevard County,Brevard,"Brevard, FL",CareerSource Brevard Flagler Volusia,New Apprentices,131,20.92015267,18.34
FY 2025,FL,Florida,Brevard County,Brevard,"Brevard, FL",CareerSource Brevard Flagler Volusia,Completer Apprentices,42,24.21428571,22.84
FY 2024,FL,Florida,Brevard County,Brevard,"Brevard, FL",CareerSource Brevard Flagler Volusia,Active Apprentices,373,17.47345845,16.64
FY 2024,FL,Florida,Brevard County,Brevard,"Brevard, FL",CareerSource Brevard Flagler Volusia,New Apprentices,138,18.09934783,17
FY 2024,FL,Florida,Brevard County,Brevard,"Brevard, FL",CareerSource Brevard Flagler Volusia,Completer Apprentices,51,23.04529412,22
FY 2023,FL,Florida,Brevard County,Brevard,"Brevard, FL",CareerSource Brevard Flagler Volusia,Active Apprentices,341,16.74964809,15.6
FY 2023,FL,Florida,Brevard County,Brevard,"Brevard, FL",CareerSource Brevard Flagler Volusia,New Apprentices,142,18.195,17
FY 2023,FL,Florida,Brevard County,Brevard,"Brevard, FL",CareerSource Brevard Flagler Volusia,Completer Apprentices,32,23.645625,22.375
FY 2022,FL,Florida,Brevard County,Brevard,"Brevard, FL",CareerSource Brevard Flagler Volusia,Active Apprentices,315,15.56771429,14.42
FY 2022,FL,Florida,Brevard County,Brevard,"Brevard, FL",CareerSource Brevard Flagler Volusia,New Apprentices,130,16.89169231,15
FY 2022,FL,Florida,Brevard County,Brevard,"Brevard, FL",CareerSource Brevard Flagler Volusia,Completer Apprentices,48,20.95342105,20.865
FY 2025,FL,Florida,Broward County,Broward,"Broward, FL",CareerSource Broward,Active Apprentices,1314,19.2064003,18.52
FY 2025,FL,Florida,Broward County,Broward,"Broward, FL",CareerSource Broward,New Apprentices,556,20.08548561,18.56
FY 2025,FL,Florida,Broward County,Broward,"Broward, FL",CareerSource Broward,Completer Apprentices,237,30.64691983,31.12
FY 2024,FL,Florida,Broward County,Broward,"Broward, FL",CareerSource Broward,Active Apprentices,1351,18.93207254,18
FY 2024,FL,Florida,Broward County,Broward,"Broward, FL",CareerSource Broward,New Apprentices,616,19.42355519,18.75
FY 2024,FL,Florida,Broward County,Broward,"Broward, FL",CareerSource Broward,Completer Apprentices,182,23.02263736,22
FY 2023,FL,Florida,Broward County,Broward,"Broward, FL",CareerSource Broward,Active Apprentices,1310,18.26633588,17.5
FY 2023,FL,Florida,Broward County,Broward,"Broward, FL",CareerSource Broward,New Apprentices,640,19.2011875,18.06
FY 2023,FL,Florida,Broward County,Broward,"Broward, FL",CareerSource Broward,Completer Apprentices,143,22.17258741,21
FY 2022,FL,Florida,Broward County,Broward,"Broward, FL",CareerSource Broward,Active Apprentices,1148,17.2897561,16.36
FY 2022,FL,Florida,Broward County,Broward,"Broward, FL",CareerSource Broward,New Apprentices,665,18.76293233,18
FY 2022,FL,Florida,Broward County,Broward,"Broward, FL",CareerSource Broward,Completer Apprentices,204,20.59024752,20
FY 2025,FL,Florida,Charlotte County,Charlotte,"Charlotte, FL",CareerSource Southwest Florida,Active Apprentices,4,24.1625,22.5
FY 2025,FL,Florida,Charlotte County,Charlotte,"Charlotte, FL",CareerSource Southwest Florida,New Apprentices,3,25.55,25
FY 2024,FL,Florida,Charlotte County,Charlotte,"Charlotte, FL",CareerSource Southwest Florida,Active Apprentices,1,20,20
FY 2023,FL,Florida,Charlotte County,Charlotte,"Charlotte, FL",CareerSource Southwest Florida,Active Apprentices,1,20,20
FY 2022,FL,Florida,Charlotte County,Charlotte,"Charlotte, FL",CareerSource Southwest Florida,Active Apprentices,1,20,20
FY 2022,FL,Florida,Charlotte County,Charlotte,"Charlotte, FL",CareerSource Southwest Florida,New Apprentices,1,20,20
FY 2025,FL,Florida,Citrus County,Citrus,"Citrus, FL",CareerSource Citrus Levy Marion,Active Apprentices,1,41.14,41.14
FY 2025,FL,Florida,Citrus County,Citrus,"Citrus, FL",CareerSource Citrus Levy Marion,New Apprentices,1,41.14,41.14
FY 2025,FL,Florida,Collier County,Collier,"Collier, FL",CareerSource Southwest Florida,Active Apprentices,12,23.5925,23.38
FY 2025,FL,Florida,Collier County,Collier,"Collier, FL",CareerSource Southwest Florida,Completer Apprentices,2,22.94,22.94
FY 2024,FL,Florida,Collier County,Collier,"Collier, FL",CareerSource Southwest Florida,Active Apprentices,14,23.365,23.12
FY 2024,FL,Florida,Collier County,Collier,"Collier, FL",CareerSource Southwest Florida,Completer Apprentices,12,23.665,21
FY 2023,FL,Florida,Collier County,Collier,"Collier, FL",CareerSource Southwest Florida,Active Apprentices,42,18.50166667,16.535
FY 2023,FL,Florida,Collier County,Collier,"Collier, FL",CareerSource Southwest Florida,New Apprentices,6,23.16333333,23.12
FY 2023,FL,Florida,Collier County,Collier,"Collier, FL",CareerSource Southwest Florida,Completer Apprentices,4,24.3075,24
FY 2022,FL,Florida,Collier County,Collier,"Collier, FL",CareerSource Southwest Florida,Active Apprentices,56,17.00892857,16
FY 2022,FL,Florida,Collier County,Collier,"Collier, FL",CareerSource Southwest Florida,New Apprentices,22,18.16227273,16
FY 2022,FL,Florida,Collier County,Collier,"Collier, FL",CareerSource Southwest Florida,Completer Apprentices,1,20,20
FY 2025,FL,Florida,Columbia County,Columbia,"Columbia, FL",CareerSource North Central Florida,Active Apprentices,80,18.3625,18
FY 2025,FL,Florida,Columbia County,Columbia,"Columbia, FL",CareerSource North Central Florida,New Apprentices,88,18.36363636,18
FY 2025,FL,Florida,Columbia County,Columbia,"Columbia, FL",CareerSource North Central Florida,Completer Apprentices,27,22.40740741,22
FY 2024,FL,Florida,Columbia County,Columbia,"Columbia, FL",CareerSource North Central Florida,Active Apprentices,67,17,18
FY 2024,FL,Florida,Columbia County,Columbia,"Columbia, FL",CareerSource North Central Florida,New Apprentices,79,17.43037975,18
FY 2024,FL,Florida,Columbia County,Columbia,"Columbia, FL",CareerSource North Central Florida,Completer Apprentices,11,22,22
FY 2023,FL,Florida,Columbia County,Columbia,"Columbia, FL",CareerSource North Central Florida,Active Apprentices,35,15.65714286,15
FY 2023,FL,Florida,Columbia County,Columbia,"Columbia, FL",CareerSource North Central Florida,New Apprentices,91,15.32967033,15
FY 2023,FL,Florida,Columbia County,Columbia,"Columbia, FL",CareerSource North Central Florida,Completer Apprentices,2,18,18
FY 2025,FL,Florida,Duval County,Duval,"Duval, FL",CareerSource Northeast Florida,Active Apprentices,2077,19.93281175,18.07
FY 2025,FL,Florida,Duval County,Duval,"Duval, FL",CareerSource Northeast Florida,New Apprentices,878,20.93870159,18.16
FY 2025,FL,Florida,Duval County,Duval,"Duval, FL",CareerSource Northeast Florida,Completer Apprentices,301,32.50242525,31.64
FY 2024,FL,Florida,Duval County,Duval,"Duval, FL",CareerSource Northeast Florida,Active Apprentices,1820,18.77982967,16.91
FY 2024,FL,Florida,Duval County,Duval,"Duval, FL",CareerSource Northeast Florida,New Apprentices,753,19.22848404,16.73
FY 2024,FL,Florida,Duval County,Duval,"Duval, FL",CareerSource Northeast Florida,Completer Apprentices,205,30.67087805,28.77
FY 2023,FL,Florida,Duval County,Duval,"Duval, FL",CareerSource Northeast Florida,Active Apprentices,1540,17.69466883,16.16
FY 2023,FL,Florida,Duval County,Duval,"Duval, FL",CareerSource Northeast Florida,New Apprentices,627,19.37776715,16.16
FY 2023,FL,Florida,Duval County,Duval,"Duval, FL",CareerSource Northeast Florida,Completer Apprentices,236,28.81744681,28.29
FY 2022,FL,Florida,Duval County,Duval,"Duval, FL",CareerSource Northeast Florida,Active Apprentices,1412,15.99116147,15.58
FY 2022,FL,Florida,Duval County,Duval,"Duval, FL",CareerSource Northeast Florida,New Apprentices,617,17.10103728,15.58
FY 2022,FL,Florida,Duval County,Duval,"Duval, FL",CareerSource Northeast Florida,Completer Apprentices,218,29.50654088,31.16
FY 2025,FL,Florida,Escambia County,Escambia,"Escambia, FL",CareerSource Escarosa,Active Apprentices,211,15.62582938,15.12
FY 2025,FL,Florida,Escambia County,Escambia,"Escambia, FL",CareerSource Escarosa,New Apprentices,100,16.7415,16.1
FY 2025,FL,Florida,Escambia County,Escambia,"Escambia, FL",CareerSource Escarosa,Completer Apprentices,15,25.8125,26.16
FY 2024,FL,Florida,Escambia County,Escambia,"Escambia, FL",CareerSource Escarosa,Active Apprentices,198,14.63138462,15.01
FY 2024,FL,Florida,Escambia County,Escambia,"Escambia, FL",CareerSource Escarosa,New Apprentices,73,16.59842857,15.12
FY 2024,FL,Florida,Escambia County,Escambia,"Escambia, FL",CareerSource Escarosa,Completer Apprentices,14,22.69071429,21.6
FY 2023,FL,Florida,Escambia County,Escambia,"Escambia, FL",CareerSource Escarosa,Active Apprentices,174,13.42829412,13.4
FY 2023,FL,Florida,Escambia County,Escambia,"Escambia, FL",CareerSource Escarosa,New Apprentices,76,14.47833333,15.01
FY 2023,FL,Florida,Escambia County,Escambia,"Escambia, FL",CareerSource Escarosa,Completer Apprentices,15,21.00333333,20
FY 2022,FL,Florida,Escambia County,Escambia,"Escambia, FL",CareerSource Escarosa,Active Apprentices,155,12.36830065,12.64
FY 2022,FL,Florida,Escambia County,Escambia,"Escambia, FL",CareerSource Escarosa,New Apprentices,81,13.35410256,13.4
FY 2022,FL,Florida,Escambia County,Escambia,"Escambia, FL",CareerSource Escarosa,Completer Apprentices,5,20.708,20
FY 2025,FL,Florida,Flagler County,Flagler,"Flagler, FL",CareerSource Brevard Flagler Volusia,Active Apprentices,54,15.94814815,16
FY 2025,FL,Florida,Flagler County,Flagler,"Flagler, FL",CareerSource Brevard Flagler Volusia,New Apprentices,18,17.05555556,17
FY 2025,FL,Florida,Flagler County,Flagler,"Flagler, FL",CareerSource Brevard Flagler Volusia,Completer Apprentices,17,17.63470588,16.5
FY 2024,FL,Florida,Flagler County,Flagler,"Flagler, FL",CareerSource Brevard Flagler Volusia,Active Apprentices,58,15.23793103,15
FY 2024,FL,Florida,Flagler County,Flagler,"Flagler, FL",CareerSource Brevard Flagler Volusia,New Apprentices,35,15.58,15
FY 2023,FL,Florida,Flagler County,Flagler,"Flagler, FL",CareerSource Brevard Flagler Volusia,Active Apprentices,36,14.42277778,15
FY 2023,FL,Florida,Flagler County,Flagler,"Flagler, FL",CareerSource Brevard Flagler Volusia,New Apprentices,21,15.69047619,15
FY 2023,FL,Florida,Flagler County,Flagler,"Flagler, FL",CareerSource Brevard Flagler Volusia,Completer Apprentices,3,20,20
FY 2022,FL,Florida,Flagler County,Flagler,"Flagler, FL",CareerSource Brevard Flagler Volusia,Active Apprentices,21,12.79619048,13
FY 2022,FL,Florida,Flagler County,Flagler,"Flagler, FL",CareerSource Brevard Flagler Volusia,New Apprentices,14,13.73,14
FY 2025,FL,Florida,Glades County,Glades,"Glades, FL",CareerSource Southwest Florida,Active Apprentices,7,26.43142857,25.66
FY 2024,FL,Florida,Glades County,Glades,"Glades, FL",CareerSource Southwest Florida,Active Apprentices,7,26.43142857,25.66
FY 2023,FL,Florida,Glades County,Glades,"Glades, FL",CareerSource Southwest Florida,Active Apprentices,7,26.43142857,25.66
FY 2023,FL,Florida,Glades County,Glades,"Glades, FL",CareerSource Southwest Florida,New Apprentices,1,25.66,25.66
FY 2023,FL,Florida,Glades County,Glades,"Glades, FL",CareerSource Southwest Florida,Completer Apprentices,1,36.93,36.93
FY 2022,FL,Florida,Glades County,Glades,"Glades, FL",CareerSource Southwest Florida,Active Apprentices,8,25.3275,25.66
FY 2022,FL,Florida,Glades County,Glades,"Glades, FL",CareerSource Southwest Florida,New Apprentices,7,24.1,25.66
FY 2025,FL,Florida,Gulf County,Gulf,"Gulf, FL",CareerSource Gulf Coast,Completer Apprentices,5,28.85,28.85
FY 2024,FL,Florida,Gulf County,Gulf,"Gulf, FL",CareerSource Gulf Coast,Active Apprentices,5,20.19,20.19
FY 2024,FL,Florida,Gulf County,Gulf,"Gulf, FL",CareerSource Gulf Coast,New Apprentices,5,20.19,20.19
FY 2022,FL,Florida,Hardee County,Hardee,"Hardee, FL",CareerSource Heartland,Completer Apprentices,1,44.57,44.57
FY 2025,FL,Florida,Highlands County,Highlands,"Highlands, FL",CareerSource Heartland,Active Apprentices,53,15.60377358,15
FY 2025,FL,Florida,Highlands County,Highlands,"Highlands, FL",CareerSource Heartland,New Apprentices,26,15.98076923,15.25
FY 2025,FL,Florida,Highlands County,Highlands,"Highlands, FL",CareerSource Heartland,Completer Apprentices,1,24,24
FY 2024,FL,Florida,Highlands County,Highlands,"Highlands, FL",CareerSource Heartland,Active Apprentices,58,15.82241379,15
FY 2024,FL,Florida,Highlands County,Highlands,"Highlands, FL",CareerSource Heartland,New Apprentices,36,16.13888889,15
FY 2024,FL,Florida,Highlands County,Highlands,"Highlands, FL",CareerSource Heartland,Completer Apprentices,1,20,20
FY 2023,FL,Florida,Highlands County,Highlands,"Highlands, FL",CareerSource Heartland,Active Apprentices,51,14.59215686,15
FY 2023,FL,Florida,Highlands County,Highlands,"Highlands, FL",CareerSource Heartland,New Apprentices,33,15.83030303,16
FY 2023,FL,Florida,Highlands County,Highlands,"Highlands, FL",CareerSource Heartland,Completer Apprentices,10,19.77777778,21
FY 2022,FL,Florida,Highlands County,Highlands,"Highlands, FL",CareerSource Heartland,Active Apprentices,54,12.94537037,13
FY 2022,FL,Florida,Highlands County,Highlands,"Highlands, FL",CareerSource Heartland,New Apprentices,34,12.99117647,13
FY 2022,FL,Florida,Highlands County,Highlands,"Highlands, FL",CareerSource Heartland,Completer Apprentices,6,16.33333333,16
FY 2025,FL,Florida,Hillsborough County,Hillsborough,"Hillsborough, FL",CareerSource Hillsborough Pinellas,Active Apprentices,4536,21.05589195,21
FY 2025,FL,Florida,Hillsborough County,Hillsborough,"Hillsborough, FL",CareerSource Hillsborough Pinellas,New Apprentices,2346,21.60522388,21.42
FY 2025,FL,Florida,Hillsborough County,Hillsborough,"Hillsborough, FL",CareerSource Hillsborough Pinellas,Completer Apprentices,658,30.56761398,28.19
FY 2024,FL,Florida,Hillsborough County,Hillsborough,"Hillsborough, FL",CareerSource Hillsborough Pinellas,Active Apprentices,4295,20.75808615,20
FY 2024,FL,Florida,Hillsborough County,Hillsborough,"Hillsborough, FL",CareerSource Hillsborough Pinellas,New Apprentices,2249,21.7106803,21.42
FY 2024,FL,Florida,Hillsborough County,Hillsborough,"Hillsborough, FL",CareerSource Hillsborough Pinellas,Completer Apprentices,541,30.53192237,27
FY 2023,FL,Florida,Hillsborough County,Hillsborough,"Hillsborough, FL",CareerSource Hillsborough Pinellas,Active Apprentices,3568,19.68943946,19.01
FY 2023,FL,Florida,Hillsborough County,Hillsborough,"Hillsborough, FL",CareerSource Hillsborough Pinellas,New Apprentices,1765,21.72796034,20
FY 2023,FL,Florida,Hillsborough County,Hillsborough,"Hillsborough, FL",CareerSource Hillsborough Pinellas,Completer Apprentices,474,28.77409978,26.5
FY 2022,FL,Florida,Hillsborough County,Hillsborough,"Hillsborough, FL",CareerSource Hillsborough Pinellas,Active Apprentices,3098,18.39060362,18
FY 2022,FL,Florida,Hillsborough County,Hillsborough,"Hillsborough, FL",CareerSource Hillsborough Pinellas,New Apprentices,1317,20.17343964,19.82
FY 2022,FL,Florida,Hillsborough County,Hillsborough,"Hillsborough, FL",CareerSource Hillsborough Pinellas,Completer Apprentices,386,28.74327027,26
FY 2023,FL,Florida,Indian River County,Indian River,"Indian River, FL",CareerSource Research Coast,Active Apprentices,2,12,12
FY 2023,FL,Florida,Indian River County,Indian River,"Indian River, FL",CareerSource Research Coast,Completer Apprentices,5,24,25
FY 2022,FL,Florida,Indian River County,Indian River,"Indian River, FL",CareerSource Research Coast,Active Apprentices,7,13.62285714,14
FY 2022,FL,Florida,Indian River County,Indian River,"Indian River, FL",CareerSource Research Coast,New Apprentices,2,16,16
FY 2022,FL,Florida,Indian River County,Indian River,"Indian River, FL",CareerSource Research Coast,Completer Apprentices,5,16.75,18
FY 2025,FL,Florida,Jackson County,Jackson,"Jackson, FL",CareerSource Chipola,Active Apprentices,7,28.26,0.12
FY 2025,FL,Florida,Jackson County,Jackson,"Jackson, FL",CareerSource Chipola,New Apprentices,2,26.46,13.29
FY 2024,FL,Florida,Jackson County,Jackson,"Jackson, FL",CareerSource Chipola,Active Apprentices,6,30.06,0.12
FY 2024,FL,Florida,Jackson County,Jackson,"Jackson, FL",CareerSource Chipola,New Apprentices,2,30.06,15.09
FY 2023,FL,Florida,Jackson County,Jackson,"Jackson, FL",CareerSource Chipola,Active Apprentices,7,,0.12
FY 2023,FL,Florida,Jackson County,Jackson,"Jackson, FL",CareerSource Chipola,New Apprentices,3,,0.12
FY 2023,FL,Florida,Jackson County,Jackson,"Jackson, FL",CareerSource Chipola,Completer Apprentices,1,39.78,39.78
FY 2022,FL,Florida,Jackson County,Jackson,"Jackson, FL",CareerSource Chipola,Active Apprentices,9,23.53,0.12
FY 2022,FL,Florida,Jackson County,Jackson,"Jackson, FL",CareerSource Chipola,New Apprentices,6,,0.12
FY 2022,FL,Florida,Jackson County,Jackson,"Jackson, FL",CareerSource Chipola,Completer Apprentices,1,,0.4
FY 2025,FL,Florida,Lake County,Lake,"Lake, FL",CareerSource Central Florida,Active Apprentices,38,24.16578947,24
FY 2025,FL,Florida,Lake County,Lake,"Lake, FL",CareerSource Central Florida,New Apprentices,18,30.285,30.66
FY 2024,FL,Florida,Lake County,Lake,"Lake, FL",CareerSource Central Florida,Active Apprentices,28,20.63642857,18.67
FY 2024,FL,Florida,Lake County,Lake,"Lake, FL",CareerSource Central Florida,New Apprentices,16,23.3,24.57
FY 2023,FL,Florida,Lake County,Lake,"Lake, FL",CareerSource Central Florida,Active Apprentices,17,17.08,18
FY 2023,FL,Florida,Lake County,Lake,"Lake, FL",CareerSource Central Florida,New Apprentices,5,12,12
FY 2022,FL,Florida,Lake County,Lake,"Lake, FL",CareerSource Central Florida,Active Apprentices,20,18.124,18
FY 2022,FL,Florida,Lake County,Lake,"Lake, FL",CareerSource Central Florida,New Apprentices,20,17.818,18
FY 2022,FL,Florida,Lake County,Lake,"Lake, FL",CareerSource Central Florida,Completer Apprentices,3,30.91,34.36
FY 2025,FL,Florida,Lee County,Lee,"Lee, FL",CareerSource Southwest Florida,Active Apprentices,814,25.34469287,26.285
FY 2025,FL,Florida,Lee County,Lee,"Lee, FL",CareerSource Southwest Florida,New Apprentices,517,28.4827853,31.16
FY 2025,FL,Florida,Lee County,Lee,"Lee, FL",CareerSource Southwest Florida,Completer Apprentices,311,32.19545161,32.09
FY 2024,FL,Florida,Lee County,Lee,"Lee, FL",CareerSource Southwest Florida,Active Apprentices,716,24.91452514,26.035
FY 2024,FL,Florida,Lee County,Lee,"Lee, FL",CareerSource Southwest Florida,New Apprentices,484,28.33353306,31.16
FY 2024,FL,Florida,Lee County,Lee,"Lee, FL",CareerSource Southwest Florida,Completer Apprentices,44,25.85818182,25
FY 2023,FL,Florida,Lee County,Lee,"Lee, FL",CareerSource Southwest Florida,Active Apprentices,349,17.72621777,17
FY 2023,FL,Florida,Lee County,Lee,"Lee, FL",CareerSource Southwest Florida,New Apprentices,147,19.13693878,18
FY 2023,FL,Florida,Lee County,Lee,"Lee, FL",CareerSource Southwest Florida,Completer Apprentices,55,25.11927273,24
FY 2022,FL,Florida,Lee County,Lee,"Lee, FL",CareerSource Southwest Florida,Active Apprentices,336,16.78214286,16
FY 2022,FL,Florida,Lee County,Lee,"Lee, FL",CareerSource Southwest Florida,New Apprentices,124,17.76516129,17
FY 2022,FL,Florida,Lee County,Lee,"Lee, FL",CareerSource Southwest Florida,Completer Apprentices,58,22.52,22
FY 2025,FL,Florida,Leon County,Leon,"Leon, FL",CareerSource Capital Region,Active Apprentices,306,18.92349315,18.59
FY 2025,FL,Florida,Leon County,Leon,"Leon, FL",CareerSource Capital Region,New Apprentices,120,18.54121495,16.32
FY 2025,FL,Florida,Leon County,Leon,"Leon, FL",CareerSource Capital Region,Completer Apprentices,66,27.81727273,25.15
FY 2024,FL,Florida,Leon County,Leon,"Leon, FL",CareerSource Capital Region,Active Apprentices,313,18.87381877,19
FY 2024,FL,Florida,Leon County,Leon,"Leon, FL",CareerSource Capital Region,New Apprentices,210,19.14190476,20.5
FY 2024,FL,Florida,Leon County,Leon,"Leon, FL",CareerSource Capital Region,Completer Apprentices,67,22.28074627,19.57
FY 2023,FL,Florida,Leon County,Leon,"Leon, FL",CareerSource Capital Region,Active Apprentices,288,17.88767606,17
FY 2023,FL,Florida,Leon County,Leon,"Leon, FL",CareerSource Capital Region,New Apprentices,257,17.84746094,17
FY 2023,FL,Florida,Leon County,Leon,"Leon, FL",CareerSource Capital Region,Completer Apprentices,46,27.42804348,26.5
FY 2022,FL,Florida,Leon County,Leon,"Leon, FL",CareerSource Capital Region,Active Apprentices,105,16.9026,16.5
FY 2022,FL,Florida,Leon County,Leon,"Leon, FL",CareerSource Capital Region,New Apprentices,31,16.47962963,15.14
FY 2022,FL,Florida,Leon County,Leon,"Leon, FL",CareerSource Capital Region,Completer Apprentices,38,23.51944444,22.345
FY 2025,FL,Florida,Levy County,Levy,"Levy, FL",CareerSource Citrus Levy Marion,Active Apprentices,3,15.66666667,14
FY 2025,FL,Florida,Levy County,Levy,"Levy, FL",CareerSource Citrus Levy Marion,New Apprentices,3,15.66666667,14
FY 2024,FL,Florida,Levy County,Levy,"Levy, FL",CareerSource Citrus Levy Marion,Active Apprentices,4,12.89,14
FY 2024,FL,Florida,Levy County,Levy,"Levy, FL",CareerSource Citrus Levy Marion,New Apprentices,2,14,14
FY 2023,FL,Florida,Levy County,Levy,"Levy, FL",CareerSource Citrus Levy Marion,Active Apprentices,5,13.112,14
FY 2023,FL,Florida,Levy County,Levy,"Levy, FL",CareerSource Citrus Levy Marion,New Apprentices,5,14,14
FY 2022,FL,Florida,Levy County,Levy,"Levy, FL",CareerSource Citrus Levy Marion,Active Apprentices,3,12.52,14
FY 2022,FL,Florida,Levy County,Levy,"Levy, FL",CareerSource Citrus Levy Marion,New Apprentices,6,12.28,12.28
FY 2025,FL,Florida,Madison County,Madison,"Madison, FL",CareerSource North Florida,Active Apprentices,4,20.225,20.2
FY 2025,FL,Florida,Madison County,Madison,"Madison, FL",CareerSource North Florida,New Apprentices,4,20.225,20.2
FY 2024,FL,Florida,Madison County,Madison,"Madison, FL",CareerSource North Florida,Active Apprentices,1,15,15
FY 2023,FL,Florida,Madison County,Madison,"Madison, FL",CareerSource North Florida,Active Apprentices,1,15,15
FY 2022,FL,Florida,Madison County,Madison,"Madison, FL",CareerSource North Florida,Active Apprentices,1,15,15
FY 2022,FL,Florida,Madison County,Madison,"Madison, FL",CareerSource North Florida,New Apprentices,2,14.75,14.75
FY 2025,FL,Florida,Manatee County,Manatee,"Manatee, FL",CareerSource Suncoast,Active Apprentices,64,15.2809375,15.28
FY 2025,FL,Florida,Manatee County,Manatee,"Manatee, FL",CareerSource Suncoast,New Apprentices,52,15.40769231,15.28
FY 2025,FL,Florida,Manatee County,Manatee,"Manatee, FL",CareerSource Suncoast,Completer Apprentices,16,16.154375,16.56
FY 2024,FL,Florida,Manatee County,Manatee,"Manatee, FL",CareerSource Suncoast,Active Apprentices,42,14.69333333,15
FY 2024,FL,Florida,Manatee County,Manatee,"Manatee, FL",CareerSource Suncoast,New Apprentices,35,14.632,15
FY 2024,FL,Florida,Manatee County,Manatee,"Manatee, FL",CareerSource Suncoast,Completer Apprentices,7,15.5,15.5
FY 2023,FL,Florida,Manatee County,Manatee,"Manatee, FL",CareerSource Suncoast,Active Apprentices,36,17.89472222,15
FY 2023,FL,Florida,Manatee County,Manatee,"Manatee, FL",CareerSource Suncoast,New Apprentices,20,14.192,14.375
FY 2023,FL,Florida,Manatee County,Manatee,"Manatee, FL",CareerSource Suncoast,Completer Apprentices,4,14.375,15
FY 2022,FL,Florida,Manatee County,Manatee,"Manatee, FL",CareerSource Suncoast,Active Apprentices,29,18.18,15
FY 2022,FL,Florida,Manatee County,Manatee,"Manatee, FL",CareerSource Suncoast,New Apprentices,14,12.29285714,12
FY 2022,FL,Florida,Manatee County,Manatee,"Manatee, FL",CareerSource Suncoast,Completer Apprentices,12,13.8775,13.5
FY 2025,FL,Florida,Marion County,Marion,"Marion, FL",CareerSource Citrus Levy Marion,Active Apprentices,148,16.62277027,14.58
FY 2025,FL,Florida,Marion County,Marion,"Marion, FL",CareerSource Citrus Levy Marion,New Apprentices,63,16.54365079,14.58
FY 2025,FL,Florida,Marion County,Marion,"Marion, FL",CareerSource Citrus Levy Marion,Completer Apprentices,20,30.0475,26.5
FY 2024,FL,Florida,Marion County,Marion,"Marion, FL",CareerSource Citrus Levy Marion,Active Apprentices,124,16.14532258,14.58
FY 2024,FL,Florida,Marion County,Marion,"Marion, FL",CareerSource Citrus Levy Marion,New Apprentices,46,18.02086957,14.58
FY 2024,FL,Florida,Marion County,Marion,"Marion, FL",CareerSource Citrus Levy Marion,Completer Apprentices,10,30.244,26.5
FY 2023,FL,Florida,Marion County,Marion,"Marion, FL",CareerSource Citrus Levy Marion,Active Apprentices,108,15.19925926,12.65
FY 2023,FL,Florida,Marion County,Marion,"Marion, FL",CareerSource Citrus Levy Marion,New Apprentices,45,16.14311111,12.65
